Subset,Image,Model,CIEDE2000,Delta_uv_prime,Duv,EML,BlueEnergyPerPixel
screenshot,screenshot_10.png,compensation_once,29.4134,0.1119,-0.0112,127.7356,26724.519939
screenshot,screenshot_10.png,compensation_twice,29.2306,0.1037,0.0036,146.2116,37063.442710
screenshot,screenshot_10.png,pure_transform_2700k,21.3618,0.1046,0.0096,113.8750,23930.955627
screenshot,screenshot_11.png,compensation_once,20.2792,0.0831,-0.0042,109.6655,34866.546936
screenshot,screenshot_11.png,compensation_twice,17.6722,0.0522,0.0009,126.8684,51427.176375
screenshot,screenshot_11.png,pure_transform_2700k,20.9557,0.0904,-0.0042,102.3074,32066.858637
screenshot,screenshot_12.png,compensation_once,25.5995,0.0924,0.0079,130.4057,29519.268434
screenshot,screenshot_12.png,compensation_twice,24.0315,0.0756,0.0164,142.0775,39003.095852
screenshot,screenshot_12.png,pure_transform_2700k,23.2996,0.0932,0.0112,130.8906,36689.886435
screenshot,screenshot_13.png,compensation_once,24.1328,0.0827,0.0051,118.4545,38151.084062
screenshot,screenshot_13.png,compensation_twice,23.0736,0.0684,0.0187,130.8708,53190.355215
screenshot,screenshot_13.png,pure_transform_2700k,22.4503,0.0862,0.0044,115.2781,42670.039803
screenshot,screenshot_14.png,compensation_once,19.1829,0.0748,-0.0085,87.0893,20257.275273
screenshot,screenshot_14.png,compensation_twice,16.9216,0.0461,-0.0049,108.1443,32798.510660
screenshot,screenshot_14.png,pure_transform_2700k,18.2259,0.0779,-0.0078,80.6459,19972.299923
screenshot,screenshot_15.png,compensation_once,21.7023,0.0893,0.0090,138.7043,5890.933396
screenshot,screenshot_15.png,compensation_twice,18.5955,0.0208,0.0112,201.4300,17758.101661
screenshot,screenshot_15.png,pure_transform_2700k,17.5461,0.0889,0.0227,131.5369,2625.177531
screenshot,screenshot_16.png,compensation_once,20.9283,0.0730,0.0007,88.5854,39471.133538
screenshot,screenshot_16.png,compensation_twice,18.9455,0.0564,0.0030,97.0863,48376.955585
screenshot,screenshot_16.png,pure_transform_2700k,17.6654,0.0772,-0.0016,87.3659,40780.746689
screenshot,screenshot_17.png,compensation_once,20.2170,0.0788,-0.0403,203.6118,7918.924166
screenshot,screenshot_17.png,compensation_twice,16.9284,0.0233,-0.0189,276.3375,18116.125147
screenshot,screenshot_17.png,pure_transform_2700k,19.1257,0.1127,-0.0316,131.7735,10503.619281
screenshot,screenshot_18.png,compensation_once,19.0601,0.0840,0.0020,118.5422,13459.479527
screenshot,screenshot_18.png,compensation_twice,11.6849,0.0332,0.0103,149.9573,26845.439005
